name,area,food,takeout,url
オーガニックゲストハウス&カフェ OHANA,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=1
Osteria erie,立花・鳥生・富田,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=2
Country  Time 〜カントリータイム〜,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=3
旅館茶梅(お食事処茶梅),しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=4
キッチンほっとベア,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=5
笹,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=7
魚常梅が花,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=8
Paysan,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=9
ピザハウスふじい　中浜店,美須賀・城東,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=10
居酒屋がらじ,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=11
農家リストランテVe.G.I,しまなみ（大島・伯方島・大三島・関前）,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=12
居酒屋DINING味守屋,立花・鳥生・富田,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=13
ふぐ料理　小幸,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=14
割烹青井,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=15
こっこ家,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=16
Bar風,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=17
お好み焼　鉄板焼　風,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=18
お酒と料理　こんどう,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=19
うずしお,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=20
漁師ダイニングアンカー,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=21
得得うどん大西店,波止浜・波方・大西,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=22
串かつ晴(はる),立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=23
cafe vibo,桜井・国分・朝倉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=25
カレーハウスCoCo壱番屋今治日吉店,常盤・日吉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=26
レストラン・ミロ,立花・鳥生・富田,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=27
カレーハウスCoCo壱番屋今治喜田村店,立花・鳥生・富田,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=28
そば正,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=29
滋味居酒屋　陣,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=30
やきにくの蔵今治店,立花・鳥生・富田,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=31
Dejavu,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=32
割烹　京楽,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=33
炭火焼鳥　とりっこ今治店,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=34
タオル美術館ミュージアムカフェ,桜井・国分・朝倉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=35
タオル美術館ガーデンカフェ,桜井・国分・朝倉,喫茶・カフェ,なし,https://imabari-pcoupon.jp/kamei/?id=36
タオル美術館レストラン王府井,桜井・国分・朝倉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=37
酒味工房つかさ,清水・日高・乃万,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=38
四季の味　はな亭,常盤・日吉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=39
カフェレスト　　PITON,桜井・国分・朝倉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=40
iccyo,立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=41
麺食堂とまと,美須賀・城東,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=42
魚菜燻吟　あき山,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=43
puffee,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=44
声聞,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=45
モアヤマダ,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=46
アルベーロ,常盤・日吉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=47
カフェティファニー,立花・鳥生・富田,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=48
やきとり　山鳥,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=49
まるとみ,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=50
庖厨　めい,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=51
銀美月,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=52
たけざき,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=54
とり雅,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=55
信州そば久保田,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=56
珈琲道場,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=57
白楽天　今治本店,常盤・日吉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=58
欧風イタリア食堂グラッチャーノ,清水・日高・乃万,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=59
しまなみフレンチ　Filer,しまなみ（大島・伯方島・大三島・関前）,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=60
もりもとや,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=61
お好み焼きさくら,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=62
焼肉千草,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=63
らーめん工房りょう花今治店,常盤・日吉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=64
Red Pepper's Club とんがらし,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=65
お好み焼　たんぽぽ,しまなみ（大島・伯方島・大三島・関前）,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=66
